id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords
4282,LGSK,medium_airport,Skiathos Island National Airport,39.17710113525391,23.503700256347656,54.0,EU,GR,GR-E,Skiathos,yes,LGSK,JSI,,,https://en.wikipedia.org/wiki/Skiathos_Island_National_Airport,Alexandros Papadiamantis Airport
4283,LGSM,medium_airport,Samos Airport,37.68999862670898,26.911699295043945,19.0,EU,GR,GR-K,Samos Island,yes,LGSM,SMI,,,https://en.wikipedia.org/wiki/Samos_International_Airport,
4286,LGSR,medium_airport,Santorini Airport,36.399200439453125,25.47929954528809,127.0,EU,GR,GR-L,Santorini Island,yes,LGSR,JTR,,,https://en.wikipedia.org/wiki/Santorini_(Thira)_National_Airport,
4287,LGST,medium_airport,Sitia Airport,35.21609878540039,26.101299285888672,376.0,EU,GR,GR-M,Crete Island,yes,LGST,JSH,,,https://en.wikipedia.org/wiki/Sitia_Public_Airport,
4293,LGTS,large_airport,Thessaloniki Macedonia International Airport,40.51969909667969,22.97089958190918,22.0,EU,GR,GR-B,Thessaloniki,yes,LGTS,SKG,,,https://en.wikipedia.org/wiki/Thessaloniki_International_Airport%2C_%22Macedonia%22,Makedonia. Macedonia. Salonica
4295,LGZA,medium_airport,"Zakynthos International Airport ""Dionysios Solomos""",37.7509,20.8843,15.0,EU,GR,GR-F,Zakynthos Island,yes,LGZA,ZTH,,https://www.zth-airport.gr,https://en.wikipedia.org/wiki/Zakynthos_International_Airport,
4296,LHBP,large_airport,Budapest Liszt Ferenc International Airport,47.42976,19.261093,495.0,EU,HU,HU-PE,Budapest,yes,LHBP,BUD,,http://www.bud.hu/english,https://en.wikipedia.org/wiki/Budapest_Ferenc_Liszt_International_Airport,"Ferihegyi nemzetközi repülőtér, Budapest Liszt Ferenc international Airport"
4297,LHDC,medium_airport,Debrecen International Airport,47.488899,21.615299,359.0,EU,HU,HU-HB,Debrecen,yes,LHDC,DEB,,http://www.airportdebrecen.hu/,https://en.wikipedia.org/wiki/Debrecen_International_Airport,Debreceni nemzetközi repülőtér
4303,LHPR,medium_airport,Győr-Pér International Airport,47.624401,17.813601,424.0,EU,HU,HU-GS,Győr,yes,LHPR,,,http://www.gyor-perairport.hu/index.php?displang=eng,https://en.wikipedia.org/wiki/Gy%C5%91r-P%C3%A9r_International_Airport,
4305,LHSM,medium_airport,Hévíz–Balaton Airport,46.686391,17.159084,408.0,EU,HU,HU-ZA,Sármellék,yes,LHSM,SOB,,http://www.flybalaton.com/?null&lang=en,https://en.wikipedia.org/wiki/S%C3%A1rmell%C3%A9k_International_Airport,"Sármellék International, FlyBatalon Airport, Batalon Airport, Sármellék Nemzetközi Repülőtér"
4309,LIBC,medium_airport,Crotone Airport,38.9972,17.0802,522.0,EU,IT,IT-78,Crotone,yes,LIBC,CRV,KR01,http://www.aeroporto.kr.it/cartaservizi_eng.asp,https://en.wikipedia.org/wiki/Crotone_Airport,Sant'Anna Airport
4310,LIBD,large_airport,Bari Karol Wojtyła Airport,41.138901,16.760599,193.0,EU,IT,IT-75,Bari,yes,LIBD,BRI,BA02,http://www.seap-puglia.it/default.asp?idlingua=2&idcontenuto=25,https://en.wikipedia.org/wiki/Bari_Karol_Wojty%C5%82a_Airport,"Bari ""Karol Wojtyla"" International Airport, Palese Macchie Airport, Palese Airport"
4311,LIBF,medium_airport,"Foggia ""Gino Lisa"" Airport",41.432899,15.535,265.0,EU,IT,IT-75,Foggia,yes,LIBF,FOG,FG05,,https://en.wikipedia.org/wiki/Foggia_%22Gino_Lisa%22_Airport,Foggia Airport
4314,LIBP,medium_airport,Abruzzo Airport,42.431702,14.1811,48.0,EU,IT,IT-65,Pescara,yes,LIBP,PSR,PE01,http://www.abruzzo-airport.it/eng/index.php,https://en.wikipedia.org/wiki/Abruzzo_Airport,"Pescara, Abruzzo Pasquale Liberi International"
4315,LIBR,large_airport,Brindisi Airport,40.6576,17.947001,47.0,EU,IT,IT-75,Brindisi,yes,LIBR,BDS,BR03,http://www.seap-puglia.it/default.asp?idlingua=2&idcontenuto=29,https://en.wikipedia.org/wiki/Brindisi_Airport,"Brindisi Papola Casale Airport, Brindisi Salento Airport, Brindisi Casale Antonio Papolo Airport, Salento Airport"
4317,LICA,medium_airport,Lamezia Terme Airport,38.905399,16.2423,39.0,EU,IT,IT-78,Lamezia Terme (CZ),yes,LICA,SUF,CZ02,,https://en.wikipedia.org/wiki/Lamezia_Terme_International_Airport,
298716,LICB,medium_airport,Comiso Airport,36.994601,14.607182,623.0,EU,IT,IT-82,Comiso,yes,LICB,CIY,RG06,http://www.aeroportodicomiso.it/,https://en.wikipedia.org/wiki/Comiso_Airport,"Vincenzo Magliocco Airport, Aeroporto di Comiso"
4318,LICC,large_airport,Catania-Fontanarossa Airport,37.466801,15.0664,39.0,EU,IT,IT-82,Catania,yes,LICC,CTA,CT03,http://www.aeroporto.catania.it/,https://en.wikipedia.org/wiki/Catania-Fontanarossa_Airport,"Lanza Di Trabie, Catania-Fontanarossa Vincenzo Bellini"
4319,LICD,medium_airport,Lampedusa Airport,35.497898,12.6181,70.0,EU,IT,IT-82,Lampedusa,yes,LICD,LMP,AG01,,https://en.wikipedia.org/wiki/Lampedusa_Airport,
4320,LICG,medium_airport,Pantelleria Airport,36.816502,11.9689,628.0,EU,IT,IT-82,Pantelleria (TP),yes,LICG,PNL,TP02,,https://en.wikipedia.org/wiki/Pantelleria_Airport,I D'Amico
4321,LICJ,large_airport,Falcone–Borsellino Airport,38.175999,13.091,65.0,EU,IT,IT-82,Palermo,yes,LICJ,PMO,PA03,http://www.gesap.it/index.php,https://en.wikipedia.org/wiki/Falcone%E2%80%93Borsellino_Airport,"Palermo Airport, Punta Raisi Airport"
4323,LICR,medium_airport,Reggio Calabria Airport,38.071201,15.6516,96.0,EU,IT,IT-78,Reggio Calabria,yes,LICR,REG,RC01,,https://en.wikipedia.org/wiki/Reggio_Calabria_Airport,Tito Minniti
4324,LICT,medium_airport,Vincenzo Florio Airport Trapani-Birgi,37.9114,12.488,25.0,EU,IT,IT-82,Trapani (TP),yes,LICT,TPS,TP01,,https://en.wikipedia.org/wiki/Vincenzo_Florio_Airport_Trapani%E2%80%93Birgi,"Vincenzo Florio Airport, Trapani Airport, Aeroporto Vincenzo Florio di Trapani-Birgi"
4330,LIEA,medium_airport,Alghero-Fertilia Airport,40.632099,8.29077,87.0,EU,IT,IT-88,Alghero,yes,LIEA,AHO,SS02,http://www.aeroportodialghero.it/home_en.asp,https://en.wikipedia.org/wiki/Alghero-Fertilia_Airport,"Alghero Airport, Sardinia, Alghero - Riviera del Corallo Airport"
4332,LIEE,large_airport,Cagliari Elmas Airport,39.251499,9.05428,13.0,EU,IT,IT-88,Cagliari,yes,LIEE,CAG,CA07,http://www.cagliariairport.it/en/,https://en.wikipedia.org/wiki/Cagliari_Elmas_Airport,"Cagliari Airport,Elmas"
4333,LIEO,medium_airport,Olbia Costa Smeralda Airport,40.898701,9.51763,37.0,EU,IT,IT-88,Olbia (SS),yes,LIEO,OLB,SS03,,https://en.wikipedia.org/wiki/Olbia_Costa_Smeralda_Airport,
4340,LIMC,large_airport,Malpensa International Airport,45.6306,8.72811,768.0,EU,IT,IT-25,Milan,yes,LIMC,MXP,MI12,http://www.sea-aeroportimilano.it/en/malpensa/index.phtml,https://en.wikipedia.org/wiki/Malpensa_Airport,MIL
4341,LIME,large_airport,Milan Bergamo Airport,45.673901,9.70417,782.0,EU,IT,IT-25,Milan,yes,LIME,BGY,BG01,http://www.sacbo.it/,https://en.wikipedia.org/wiki/Orio_al_Serio_International_Airport,"Bergamo Orio al Serio Airport, Il Caravaggio International Airport"
4342,LIMF,large_airport,Turin Airport,45.200802,7.64963,989.0,EU,IT,IT-21,Torino,yes,LIMF,TRN,TO11,http://www.aeroportoditorino.it/,https://en.wikipedia.org/wiki/Turin_International_Airport,"Torino-Caselle Airport, Sandro Pertini Airport, Turin-Caselle Airport"
4344,LIMJ,medium_airport,Genoa Cristoforo Colombo Airport,44.4133,8.8375,13.0,EU,IT,IT-42,Genova,yes,LIMJ,GOA,GE01,http://www.aeroportodigenova.com/en/home/index.php,https://en.wikipedia.org/wiki/Genoa_Cristoforo_Colombo_Airport,"Genova Sestri, Sestri Cristoforo Colombo Airport, Cristoforo Colombo Airport"
4345,LIML,medium_airport,Milano Linate Airport,45.445099,9.27674,353.0,EU,IT,IT-25,Milan,yes,LIML,LIN,MI11,http://www.sea-aeroportimilano.it/en/,https://en.wikipedia.org/wiki/Linate_Airport,E Forlanini
4347,LIMP,medium_airport,Parma Airport,44.824501,10.2964,161.0,EU,IT,IT-45,Parma,yes,LIMP,PMF,PR03,,https://en.wikipedia.org/wiki/Parma_Airport,
4350,LIMZ,medium_airport,Cuneo International Airport,44.547001,7.62322,1267.0,EU,IT,IT-21,Cuneo,yes,LIMZ,CUF,CN03,http://www.aeroporto.cuneo.it/,https://en.wikipedia.org/wiki/Cuneo_International_Airport,"Cuneo Levaldigi Airport, Turin Cuneo Airport"
4352,LIPB,medium_airport,Bolzano Airport,46.460201,11.3264,789.0,EU,IT,IT-32,Bolzano,yes,LIPB,BZO,BZ01,http://www.abd-airport.it/en/home.htm,https://en.wikipedia.org/wiki/Bolzano_Airport,G Sabelli
4354,LIPE,large_airport,Bologna Guglielmo Marconi Airport,44.5354,11.2887,123.0,EU,IT,IT-45,Bologna,yes,LIPE,BLQ,BO08,http://www.bologna-airport.it/?LN=UK,https://en.wikipedia.org/wiki/Bologna_Airport,"Guglielmo Marconi Airport, Borgo Panigale Airport"
4355,LIPH,medium_airport,Treviso-Sant'Angelo Airport,45.648399,12.1944,59.0,EU,IT,IT-34,Treviso,yes,LIPH,TSF,TV01,http://www.trevisoairport.it/tsf/index.jsp?_requestid=677517&language=en,https://en.wikipedia.org/wiki/Treviso_Airport,"Venice, Antonio Canova Terminal, Treviso Airport"
4357,LIPK,medium_airport,Forlì Airport,44.194801,12.0701,97.0,EU,IT,IT-45,Forlì (FC),yes,LIPK,FRL,FC03,,https://en.wikipedia.org/wiki/Forl%C3%AC_Airport,"L Ridolfi, Ronco di Forlì"
4360,LIPO,medium_airport,Brescia Airport,45.428902,10.3306,355.0,EU,IT,IT-25,Montichiari (BS),yes,LIPO,VBS,BS04,http://www.aeroportobrescia.it/en/business_t6/,https://en.wikipedia.org/wiki/Brescia_Airport,Brescia Airport Gabriele D'Annunzio
4361,LIPQ,medium_airport,Trieste–Friuli Venezia Giulia Airport,45.827499,13.4722,39.0,EU,IT,IT-36,Trieste,yes,LIPQ,TRS,GO02,http://www.aeroporto.fvg.it/,https://en.wikipedia.org/wiki/Trieste_%E2%80%93_Friuli_Venezia_Giulia_Airport,"Ronchi Dei Legionari Airport, Trieste-Ronchi dei Legionari Airport"
4362,LIPR,medium_airport,Federico Fellini International Airport,44.020302,12.6117,40.0,EU,IT,IT-45,Rimini,yes,LIPR,RMI,RN01,http://www.riminiairport.com/english/,https://en.wikipedia.org/wiki/Federico_Fellini_International_Airport,"Rimini Miramare Airport, Rimini San Marino International Airport"
4366,LIPX,large_airport,Verona-Villafranca Valerio Catullo Airport,45.394955,10.887303,239.0,EU,IT,IT-34,Villafranca di Verona,yes,LIPX,VRN,VR10,http://www.aeroportoverona.it/,https://en.wikipedia.org/wiki/Verona_Airport,"Valerio Catullo, Villafranca International Airport, Valerio Catullo Airport, Villafranca Airport"
4367,LIPY,medium_airport,Marche Airport,43.616299,13.3623,49.0,EU,IT,IT-57,Ancona,yes,LIPY,AOI,AN01,http://www.aeroportomarche.com/index.php?lang=english,https://en.wikipedia.org/wiki/Marche_Airport,"Ancona Falconara Airport, Falconara, Raffaello Sanzio Airport"
4368,LIPZ,large_airport,Venice Marco Polo Airport,45.505299,12.3519,7.0,EU,IT,IT-34,Venice,yes,LIPZ,VCE,VE05,http://www.veniceairport.com/core/index.jsp?_requestid=37300&language=en,https://en.wikipedia.org/wiki/Venice_Marco_Polo_Airport,Venezia Tessera
4370,LIRA,medium_airport,Ciampino–G. B. Pastine International Airport,41.7994,12.5949,427.0,EU,IT,IT-62,Rome,yes,LIRA,CIA,RM12,,https://en.wikipedia.org/wiki/Ciampino%E2%80%93G._B._Pastine_International_Airport,"ROM, Giovan Battista Pastine Airport"
4372,LIRF,large_airport,Rome–Fiumicino Leonardo da Vinci International Airport,41.804532,12.251998,13.0,EU,IT,IT-62,Rome,yes,LIRF,FCO,RM11,http://www.adr.it/portal/portal/adr/Fiumicino/Leonardo_da_vinci/Header_Window?action=2,https://en.wikipedia.org/wiki/Leonardo_da_Vinci%E2%80%93Fiumicino_Airport,"ROM, Rome Fiumicino Airport, Fiumicino Airport"
4375,LIRJ,medium_airport,Marina Di Campo Airport,42.7603,10.2394,31.0,EU,IT,IT-52,Marina  Di Campo,yes,LIRJ,EBA,LI04,,https://en.wikipedia.org/wiki/Marina_di_Campo_Airport,
4378,LIRN,large_airport,Naples International Airport,40.886002,14.2908,294.0,EU,IT,IT-72,Napoli,yes,LIRN,NAP,NA01,http://www.portal.gesac.it/,https://en.wikipedia.org/wiki/Naples_International_Airport,"Capodichino Airport, Aeroporto Internazionale di Napoli-Capodichino Ugo Niutta, Ariopuorto 'nternazziunale 'e Napule-Capodichino Ugo Niutta"
4379,LIRP,large_airport,Pisa International Airport,43.683899,10.3927,6.0,EU,IT,IT-52,Pisa,yes,LIRP,PSA,PI05,http://www.pisa-airport.com/,https://en.wikipedia.org/wiki/Pisa_International_Airport,"Galileo Galilei Airport, San Giusto Airport"
4380,LIRQ,medium_airport,Peretola Airport,43.810001,11.2051,142.0,EU,IT,IT-52,Firenze,yes,LIRQ,FLR,FI04,http://www.aeroporto.firenze.it/,"https://en.wikipedia.org/wiki/Florence_Airport,_Peretola","Florence, Firenze, Amerigo Vespucci Airport"
4384,LIRZ,medium_airport,Perugia San Francesco d'Assisi – Umbria International Airport,43.095901,12.5132,697.0,EU,IT,IT-55,Perugia,yes,LIRZ,PEG,PG10,http://www.airport.umbria.it/,https://en.wikipedia.org/wiki/San_Egidio_Airport,"Perugia San Francesco d'Assisi, Perugia Sant'Egidio Airport, Umbria International Airport"
4386,LJLJ,large_airport,Ljubljana Jože Pučnik Airport,46.223701,14.4576,1273.0,EU,SI,SI-061,Ljubljana,yes,LJLJ,LJU,,http://www.lju-airport.si/,https://en.wikipedia.org/wiki/Ljubljana_Jo%C5%BEe_Pu%C4%8Dnik_Airport,"Ljubljana, Brnik, Kranj"
4399,LKKV,medium_airport,Karlovy Vary International Airport,50.20299911499024,12.914999961853027,1989.0,EU,CZ,CZ-KA,Karlovy Vary,yes,LKKV,KLV,,http://www.airport-k-vary.cz/indexEN.php,https://en.wikipedia.org/wiki/Karlovy_Vary_International_Airport,
4402,LKMT,medium_airport,Ostrava Leos Janáček Airport,49.6963005065918,18.111099243164062,844.0,EU,CZ,CZ-MO,Ostrava,yes,LKMT,OSR,,http://www.airport-ostrava.cz/en/,https://en.wikipedia.org/wiki/Ostrava_Leos_Janacek_Airport,Ostrava-Mošnov International Airport
4405,LKPD,medium_airport,Pardubice Airport,50.01340103149414,15.73859977722168,741.0,EU,CZ,CZ-PA,Pardubice,yes,LKPD,PED,,http://www.airport-pardubice.cz/?lang=en,https://en.wikipedia.org/wiki/Pardubice_Airport,Letiště Pardubice
4408,LKPR,large_airport,Václav Havel Airport Prague,50.1008,14.26,1247.0,EU,CZ,CZ-PR,Prague,yes,LKPR,PRG,,http://www.prg.aero,https://en.wikipedia.org/wiki/Ruzyn%C4%9B_International_Airport,"Letiště Praha-Ruzyně, Ruzyně International Airport, Letiště Václava Havla Praha"
4409,LKTB,medium_airport,Brno-Tuřany Airport,49.15129852294922,16.694400787353516,778.0,EU,CZ,CZ-JM,Brno,yes,LKTB,BRQ,,http://www.airport-brno.cz/index.php?id=0&lang=en,https://en.wikipedia.org/wiki/Brno-Tu%C5%99any_Airport,
4411,LLBG,large_airport,Ben Gurion International Airport,32.01139831542969,34.88669967651367,135.0,AS,IL,IL-M,Tel Aviv,yes,LLBG,TLV,,http://www.iaa.gov.il/Rashat/en-US/Airports/BenGurion/,https://en.wikipedia.org/wiki/Ben_Gurion_International_Airport,
